dataset,seed,strategy,cache_hit_rate,false_hit,counterexample_detected,runtime_overhead_ms
mnist_sum_k_v1,5,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,5,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,5,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,5,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,5,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,5,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,5,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,5,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,5,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,5,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,5,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,5,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,5,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,5,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,5,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,5,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,5,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,5,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,5,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,7,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,7,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,7,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,7,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,7,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,7,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,7,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,7,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,7,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,7,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,7,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,7,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,7,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,7,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,7,raw_text_hash,0.25,1,1,23.0
mnist_sum_k_v1,7,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,7,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,7,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,7,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,7,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,7,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,7,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,7,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,7,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,7,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,9,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,9,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,9,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,9,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,9,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,9,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,9,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,9,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,9,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,9,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,9,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,9,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,9,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,9,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,9,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,9,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,9,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,9,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,9,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,9,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,9,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,9,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,9,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,9,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,9,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,11,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,11,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,11,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,11,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,11,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,11,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,11,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,11,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,11,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,11,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,11,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,11,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,11,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,11,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,11,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,11,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,11,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,11,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,11,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,11,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,11,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,11,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,11,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,11,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,11,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,13,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,13,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,13,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,13,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,13,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,13,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,13,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,13,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,13,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,13,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,13,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,13,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,13,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,13,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,13,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,13,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,13,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,13,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,13,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,13,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,13,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,13,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,13,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,13,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,13,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,17,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,17,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,17,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,17,raw_text_hash,0.75,1,1,13.0
mnist_sum_k_v1,17,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,17,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,17,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,17,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,17,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,17,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,17,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,17,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,17,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,17,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,17,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,17,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,17,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,17,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,17,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,17,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,17,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,17,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,17,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,17,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,17,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,19,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,19,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,19,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,19,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,19,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,19,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,19,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,19,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,19,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,19,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,19,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,19,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,19,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,19,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,19,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,19,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,19,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,19,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,19,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,19,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,19,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,19,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,19,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,19,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,19,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,23,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,23,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,23,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,23,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,23,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,23,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,23,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,23,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,23,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,23,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,23,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,23,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,23,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,23,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,23,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,23,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,23,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,23,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,23,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,23,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,23,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,23,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,23,raw_text_hash,0.25,1,1,23.0
mnist_sum_k_v1,23,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,23,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,27,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,27,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,27,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,27,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,27,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,27,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,27,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,27,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,27,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,27,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,27,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,27,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,27,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,27,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,27,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,27,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,27,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,27,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,27,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,27,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,27,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,27,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,27,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,27,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,27,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,29,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,29,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,29,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,29,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,29,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,29,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,29,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,29,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,29,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,29,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,29,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,29,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,29,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,29,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,29,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,29,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,29,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,29,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,29,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,29,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,29,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,29,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,29,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,29,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,29,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,31,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,31,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,31,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,31,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,31,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,31,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,31,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,31,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,31,raw_text_hash,0.25,1,1,23.0
mnist_sum_k_v1,31,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,31,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,31,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,31,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,31,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,31,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,31,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,31,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,31,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,31,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,31,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,31,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,31,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,31,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,31,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,31,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,37,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,37,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,37,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,37,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,37,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,37,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,37,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,37,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,37,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,37,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,37,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,37,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,37,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,37,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,37,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,37,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,37,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,37,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,37,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,37,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,37,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,37,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,37,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,37,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,37,raw_text_hash,0.75,1,1,13.0
mnist_sum_k_v1,42,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,42,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,42,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,42,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,42,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,42,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,42,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,42,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,42,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,42,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,42,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,42,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,42,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,42,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,42,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,42,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,42,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,42,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,42,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,42,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,42,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,42,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,42,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,42,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,42,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,43,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,43,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,43,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,43,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,43,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,43,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,43,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,43,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,43,raw_text_hash,0.25,1,1,23.0
mnist_sum_k_v1,43,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,43,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,43,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,43,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,43,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,43,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,43,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,43,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,43,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,43,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,43,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,43,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,43,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,43,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,43,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,43,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,47,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,47,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,47,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,47,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,47,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,47,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,47,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,47,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,47,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,47,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,47,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,47,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,47,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,47,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,47,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,47,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,47,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,47,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,47,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,47,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,47,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,47,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,47,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,47,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,47,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,59,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,59,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,59,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,59,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,59,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,59,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,59,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,59,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,59,raw_text_hash,0.25,1,1,23.0
